Regular sample data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Code,Sample Item Name/Code,Processing type,Construction,Color,Customer,Customer Required Width,Customer Requirement Length(%),Customer Requirement Width(%),Weight B/W,Sample Issue Date,Finishing Date,Loom No,Warpping No,Yard,"After Dryer
 Width(Inch)",Weaving PPI,Dryer Skey(CM),"After Shrinkage 
Skey(CM)","After Shrinkage
 PPI",PPI(+),"After Wash 
Skew(CM)","After Srinkage 
Width(Inch)","Box % 
(Right Hand)","Box % 
(Left Hand)","After Wash 
Width %","After Wash
 Length %","After Wash
 Width(Inch)","After Wash
 PPI",Sample Processing Details,Remarks
X25339,,Regular Finish,"4176 X 40
8rn(Physical BCI, Nishat) X 7oe(CMIA, Badsha) + 8-70D(Nishat)(1:1) , 3/1 R.H.T",Indigo#5,Dreuss / Ardene,61''---62'',,,12.50 oz,,05/11/2025,,,40Y,,,,,,0,,,,,,,,,Regular Finish,
X25341,,Regular Finish,"4752X38
7OE(CMIA, Badsha) X 6OE(Badsah), 3/1 L.H.T",Grey#03,Dustin / Tusuka,64''--65'',,#(3--4)%,14.25 oz,,13/11/2025,607,25111010,100Y,"C:65''
F:66''",38,18.0cm,16.0cm,44,6,15.0cm,"C:65.2''
F:66.2''",-0.14%,-0.72%,-2.90%,-1.00%,63.3'',45,Singeing?Dryer(5box 60°C)?Sanforized,
X25343,,Regular Finish,"4752X54
7oe(Badsha) + 10oe(Badsha)(3:7) X 200-70D(Recycle Poly, Spandex, Hanghou), 3/1 R.H.T",Dark Indigo#6,ID Kids,54''--55'',,,10.00 oz,,15/11/2025,607,25111011,100Y,"C:58.8''
F:59.7''",54,19.5cm,12.0cm,63,9,13.0cm,"C:56''
F:57''",4.10%,-3.20%,-13.90%,-1.80%,48.2'',64,Singeing?Dryer(5box 60°C)?Sanforized,
X23097,,Regular Finish,"5400X44
20rsl(yt-167)Nishat + 20rn(Nishat, Physical BCI), 2/1 R.H.T",Dark Indigo#6,Windy Group,57''--58'',,#+/-(3--4)%,5.50 oz,,15/11/2025,203,251104,140Y,"C:57.5''
F:58.4''",44,13.0cm,11cm ,51,7,9.0cm,"C:57.6''
F:58.2''",2.80%,-2.30%,1.30%,-0.20%,58.4'',50,Singeing?Dryer(5box 60°C)?Sanforized,
X25344,,Regular Finish,"4216 X 46
7oe X 9oe(Badsha) , 3/1 R.H.T",Indigo#5,C&A,61''--62'',,#-(3--4)%,12.50 oz,,11/11/2025,223,2511986,60Y,"C:60.7''
F:61.7''",46,13.0cm,11.0cm,54,8,14.5cm,"C:60.8''
F:61.4''",1.50%,3.70%,-3.20%,0.00%,58.8'',54,Singeing?Dryer(5box 60°C)?Sanforized,
X25312,,Regular Finish,"4464 X 54
10ring(Nishat) X 16-40D(Nishat) + 16-70D(Nishat) (1:1)",Blue Black #8D,Just James,53''---54'',,#-(18--22)%,9.75 oz,,11/11/2025,608,2510948,100Y,"C:55.4''
F:56.5''",54,15.5cm,11.5cm,62,8,8.5cm,"C:53.8''
F:54.1''",-4.70%,-0.30%,-20.40%,-2.50%,42.8'',63,Singeing?Dryer(5box 60°C)?Sanforized,
X21123-1,,Regular Finish,"4205X39
8RN(Nishat) X 8oe(BCI, Badsha) , 3/1 R.H.T",Indigo#5,Natural Indigo,64''--65'',,+/-3~4%,11.00 oz,,12/11/2025,309,2511002,102Y,"C:63.8''
F:64.8''",39,19.0cm,14.0cm,47,8,14.0cm,"C:64''
F:64.8''",1.50%,-2.50%,-1.50%,0.00%,63.0'',47,Singeing?Dryer(5box 60°C)?Sanforized,
X25345,,Regular Finish,"4726X45
9OE(Badsha) X 9ring(Milan, PSCP), 3/1 R.H.T",Indigo#5,Primark,61''--62'',,+/-3~4%,11.00 oz,,12/11/2025,608,2510955,50Y,"C:61.5''
F:62.2''",45,16.5cm,13.0cm,52,7,15.0cm,"C:61.5''
F:62.2''",0.70%,1.70%,-2.40%,-1.00%,60.0'',53,Singeing?Dryer(5box 60°C)?Sanforized,
X25310,,Regular Finish,"5886X60
20ring X 20ring , Multiweave",Dark Indigo#6,Bitopi/Pull & Bear,63''--64'',,+/-3~4%,6.25 oz,,18/11/2025,219,2511013,110Y,"C:62.8''
F:63.7''",60,11.0cm,10.0cm,67,7,6.0cm,"C:62''
F:62.8''",-4.00%,-2.80%,-0.80%,0.00%,62.5'',67,Singeing?Dryer(5box 60°C)?Sanforized,
X25346,X25050(copy),Regular Finish,"3888X37
7ring(Nishat, Physical BCI) X 6OE(Badsha), 3/1 R.H.T",Blue Black#8I,Windy / Primark,63~64'',,+/-3~4%,12.00 oz,,15/11/2025,107,25111016,120Y,"C:64''
F:65''",37,13.0cm,14.0cm,44,7,12.0cm,"C:64''
F:65''",-0.70%,-1.40%,-0.70%,-0.50%,63.5'',44,Singeing?Dryer(5box 60°C)?Sanforized,
X25348,ST105-02R9S(copy),Regular Finish,"5184(Indigo:4964,White:220)X42
10OE(Indigo:46&white:2)Badsha, BCI X 10OE(Badsha, BCI), 3/1 R.H.T-stripe",Dark Indigo#5,MKT,64''--65'',,+/-3~4%,10.50 oz,,16/11/2025,510,25111015,142Y,"C:65.2''
F:66.2''",42,19.0cm,14.0cm,49,7,12.5cm,"C:65.8''
F:66.4''",0.20%,-0.10%,-1.50%,-2.40%,64.8'',50,Singeing?Dryer(5box 60°C)?Sanforized,
X25351,,Regular Finish,"4120X45
8rsl(yt-384)Nishat X 12-70D t/Raw Recycle Poly ",Indigo#5,MKT,,,,,,15/11/2025,305,2505433,40Y,"C:56''
F:57''",45,10.5cm,9.5cm,53,8,9.0cm,"C:53''
F:53.7''",1.70%,-4.00%,-17.90%,-1.60%,43.5'',53,Singeing?Dryer(5box 60°C)?Sanforized,
X25351,Rest Quantity,Regular Finish,"4120X45
8rsl(yt-384)Nishat X 12-70D t/Raw Recycle Poly ",Indigo#5,MKT,,,,,,07/12/2025,305,2505433,,"C:56''
F:57''",45,16.5cm,9.5cm,52,7,9.0cm,"C:53.2''
F:54''",0.10%,-1.50%,-16.90%,-1.90%,44.2'',53,Singeing?Dryer(5box 60°C)?Sanforized,
X25349,,,"4176X43
7ring(Nishat) X 12-70D T/Raw(Recycle Poly, Zuzhou) , 3/1R.H.T",Dark Indigo#06,MKT,,,,12.00 oz,,16/11/2025,106,2503253,70Y,"C:60.2''
F:61.2''",43,18.0cm,10.5cm,49,6,11.0cm,"C:57.8''
F:58.8''",2.80%,-2.30%,-18.30%,-3.00%,47.2'',50,Singeing?Dryer(5box 60°C)?Sanforized,
X25350,,,"4176X45
8ring(Nishat) X 12-70D T/Raw(Recycle Poly Spandex, Xuzhou), 3/1 R.H.T",Indigo#5,MKT,,,,,,07/12/2025,309,25111002,100Y,"C:57''
F:58''",45,15.0cm,9.0cm,52,7,10.0cm,"C:54.5''
F:55.5''",-2.40%,2.00%,-17.40%,-1.40%,45.0'',54,Singeing?Dryer(5box 60°C)?Sanforized,
X25355,X25050(copy in 6ring),Regular Finish,"3888X37
6ring(Nishat , lot-01) X 7OE(Badsha), 3/1 R.H.T",Blue Black#8I,Trim Wear,63~64'',,+/-3~4%,12.00 oz,,16/11/2025,107,25111023,100Y,"C:64.2''
F:65.2''",37,19.0cm,15.0cm,44,7,16.0cm,"C:64.8''
F:65.5''",3.20%,0.80%,-1.60%,-0.40%,63.7'',44,Singeing?Dryer(5box 60°C)?Sanforized,
X25354,PR110-12R5 COPY,Regular Finish,"4692 X 45
9OE(Badsha , Physical BCI) X 9oe(Badsha, Physical BCI), 3/1 R.H.T",Indigo#5,Color Test,61~62'',,+/-3~4%,11.00 oz,,16/11/2025,507,25111017,104Y,"C:61''
F:62''",45,18.0cm,14.0cm,52,7,13.0cm,"C:61.7''
F:62.2''",0.20%,0.20%,-2.40%,-2.00%,60.2'',53,Singeing?Dryer(5box 60°C)?Sanforized,
X25352,RNS110-07R8I,,"4464X45
7rsl(Q-476)Nishat + 9oe(Badsha,Physical BCI)(2:8) X 12-70D T/Raw(Recycle Poly, Xuzhou), 3/1 R.H.T",Blue Black#8I,MKT,59~60'' cut,,,11.00 oz,,22/11/2025,209,25111018,100Y,"C:61''
F:62''",45,16.5cm,10.0cm,52,7,10.5cm,"C:57.2''
F:58.2''",0.00%,0.46%,-16.60%,-3.00%,47.7'',54,Singeing?Dryer(5box 60°C)?Sanforized,
X25356,,Regular Finish,"4464X42
7rsl(Nishat)+7oe(Badsha)(4:6) X 7rsl(Nishat)+7OE(Badsha)
(3:1, 1:1, 4:1, 1:1) Multi Ratio,  3/1 R.H.T",Indigo#5,C&A,63~64'',3~4%,3~4%,13~13.20 /oz,,16/11/2025,209,25111020,100Y,"C:65''
F:66''",42,17.5cm,13.0cm,50,8,15.0cm,"C:65.4''
F:66.2''",0.90%,1.80%,-3.30%,0.30%,63.2'',49,Singeing?Dryer(5box 60°C)?Sanforized,
X25353,RNS110-10R6,,"4464X46
9rsl(Nishat) + 9ring(Nishat)(4:6) X 12-70D T/Raw(Recycle Poly, Xuzhou) , 3/1 R.H.T",Dark Indigo#06,MKT,,,,11.00 oz,,20/11/2025,209,25111025,100Y,"C:59.5''
F:60.5''",46,13.5cm,8.5cm,53,7,8.5cm,"C:55.5''
F:56.5''",-0.46%,0.60%,-16.00%,-2.40%,46.6'',54,Singeing?Dryer(5box 60°C) ?Sanforized,
X25357,,Regular Finish,"4120X45
8rsl(yt-384)(Nishat) X 9oe(Badsha) + 9rsl(yt-329)Nishat (2:1), 3/1R.H.T",Indigo#05,STR,,,,11.50 oz,,19/11/2025,309,2505433,136Y,"C:59''
F:60''",45,16.5cm,12.0cm,52,7,12.5cm,"C:59''
F:60''",1.00%,0.00%,-1.60%,-1.00%,58.0'',52,Singeing?Dryer(5box 60°C) ?Sanforized,
X25358,,Regular Finish,"4464X43
10ring(Nishat)X10ring(Nishat), 3/1 R.H.T",Indigo#05,C&A ,64~65''(Approxmatly),0.08,3~4%,9.25~9.50 / oz,,16/11/2025,209,2509864,80Y,"C:62''
F:63''",43,16.5cm,15.0cm,50,7,15.0cm,"C:62.8''
F:63.6''",1.50%,-3.30%,-0.30%,-1.80%,63.0'',50,Singeing?Dryer(5box 60°C)?Sanforized,
X25359,,Regular Finish,"4216X46
7ring(Nishat) X 9ring(Milan) ,3/1 R.H.T",Indigo#5,C&A ,61~62'',-(3~4)%,-(3~4)%,12.50 oz,,17/11/2025,309,25111026,80Y,"C:61.2''
F:62''",46,17.0cm,13.0cm,53,7,15.5cm,"C:61''
F:61.8''",0.80%,1.50%,-1.60%,-1.00%,59.8'',54,Singeing?Dryer(5box 60°C)?Sanforized,
T25003,,,"4464X48
7oe(90% cotton)Huazin X 300-40D(Hangzhou) + 300-70D(Hangzhou)(1:1), 3/1R.H.T",Indigo#5,LC Waikiki,,-(4~8)%,,,,15/11/2025,Issue date,25111000,80Y,,,,,,0,,,,,,,,,It will appear after finish the process,
T25004,,,"4464X45
7oe(90% cotton)Huazin X 450D(Hangzhou) , 3/1 R.H.T",Indigo#5,LC Waikiki,,-(4~8)%,,,,15/11/2025,Issue date,25111000,50Y,,,,,,0,,,,,,,,,It will appear after finish the process,
X22312,PRS100-05R5(Lycra),Regular Finsih,"4176X50
8oe(Badsha) X 16-40D(Lycra)Recycle, Nishat, 3/1R.H.T",Indigo#5,Windy Group/LIDL,57~58'',+/-3~4%,-15~19%,10.00 oz,,22/11/2025,121,25111032,872Y,"C:59.2''
F:60.2''",50,17.0cm,12.5cm,57,7,11.0cm,"C:58.5''
F:59.5''",-2.30%,-0.47%,-17.09%,-2.50%,48.5'',59,Singeing?Dryer(5box 60°C)?Sanforized,
X25360,Face Up,Regular Finsih,"7000X70
40ring X 40ring , 2/1 R.H.T",Grey#3,Uniform Purpose,57~58'',+/-3~4%,+/-3~4%,,,09/12/2025,118,25111142,900Y,"C:55''
F:56''",70,8.0cm,7.5cm,78,8,9.5cm,"C:55.8''
F:56.3''",1.30%,1.30%,-1.70%,-0.50%,56.8'',79,Singeing?Dryer(5box 60°C)?Sanforized,
X25361,X25343-copy,Regular Finsih,"4176X54
7oe(Badsha) + 10oe(Badsha)(3:7) X 200-70D(Recycle Poly, Sapandex, Hanzhour) , 3/1 R.H.T",Dark Indigo#6,ID Kids,54~55'',3~4%,,10.00 oz,,18/11/2025,405,25111011,50Y,"C:55.5''
F:56.5''",54,11.5cm,9.0cm,61,7,10.0cm,"C:62.2''
F:31.2''",2.10%,-1.06%,-27.60%,-1.00%,45.0'',62,Singeing?Dryer(5box 60°C)?Sanforized,
X25362,,Regular Finsih,"3132X32
6ring(Nishat) X 6ring(Nishat) , 3/1 R.H.T",Blue Black#8I,Team Sourcing,64~65'',-(3~4)%,-(3~4)%,,,17/11/2025,107,25111023,60Y,"C:61''
F:62''",32,14.0cm,14.5cm,38,6,15.5cm,"C:61.5''
F:62.3''",-0.14%,1.00%,-0.30%,-2.80%,61.3'',38,Singeing?Dryer(5box 60°C)?Sanforized,
X24187,SR085-01R1,Regular Finish,"4060X42
10siro(Nishat) X 12oe(Physical BCI) , 3/1 R.H.T",Natural# 01,Windy Group,58'',+/-(3~4)%,+/-(3~4)%,8.60 oz,,22/11/2025,105,2510966,77Y,"C:58''
F:58.8''",42,14.0cm,12.0cm,49,7,14.5cm,"C:58.4''
F:59.4''",-4.00%,0.00%,-1.30%,-1.70%,57.6'',50,"Singeing?Dryer(1box , old) ?Sanforized",
X25364,X25342 (copy),Regular Finish,"3888X37
7ring(Nishat) X 7oe(Badsha), 3/1 R.H.T",Blue Black #8I,Primark Windy Group,63~64'',+/-(3~4)%,+/-(3~4)%,12.00 oz,,19/11/2025,105,25111016,100Y,"C:63.5''
F:64.3''",37,17.0cm,15.5cm,43,6,15.0cm,"C:64''
F:65''",-0.85%,0.86%,-1.25%,-1.40%,63.2'',44,Singeing?Dryer(5box 60°C) ?Sanforized,
X22112-1,RN110-26R5,Regular Finsih,"4216X35
7ring(Nishat) X 10Oe(Badsha, Physical BCI) , 3/1 R.H.T",Indigo#5,Aman Graphics & Design,61~62'',+/-(3~4)%,+/-(3~4)%,11.00 oz,,22/11/2025,414,25111026,128Y,"C:61.5''
F:62.2''",35,18.0cm,12.0cm,41,6,15.5cm,"C:62''
F:62.6''",1.18%,1.50%,-2.40%,-2.80%,60.5'',42,Singeing?Dryer(5box 60°C) ?Sanforized,
X25365,,,"5184X58
12rsl(yt-199) Nishat X 20-70D(N.S)Sunray , 3/1 R.H.T",Dark Indigo#6c,Trim Wear,54~55''(cut),,,8.80 oz,,26/11/2025,510,25111049,120Y,"C:
F:",,,,,0,,,,,,,,,"Please, go to Check in Heat Setting File",
X22178-1,RN065-04R5,Regular Finish,"4838X49
16rsl(yt-161) Nishat + 16rn(Nishat, BCI) ( 3:7) X 16oe(XDD) + 16ring(Nishat, BCI) (1:1), 2/1 R.H.T",Indigo#5,MKT(Al Muslim),57~58'',+/-(3~4)%,+/-(3~4)%,6.50 oz,,30/11/2025,118,25111055,258Y,"C:58''
F:58.8''",49,7.5cm,7.0cm,56,7,7.0cm,"C:58''
F:58.7''",-0.98%,-0.40%,-0.68%,1.00%,58.4'',55,Singeing?Dryer(5box 60°C)?Sanforized,
X25304,,Regular Finsih,"4468X42
8ring X 12ring(Nishat, BCI), 2/2 ",Dark Indigo#6C,Al Muslim,65~66'',+/-(3~4)%,+/-(3~4)%,10.00 oz,,22/11/2025,215,25111029,90Y,"C:65.2''
F:66.2''",42,0.0cm,0.0cm,50,8,1.0cm,"C:65.5''
F:66.5''",-2.12%,-1.50%,-0.30%,0.00%,65.3'',50,Singeing?Dryer(5box 60°C)?Sanforized(Twill down),
X23246,,Regular finsih,"4025X40
7siro LOW TM-3.3(Badsha) X 9oe , 3/1 R.H.T",Indigo#5,Al Muslim,65~66'',+/-(3~4)%,+/-(3~4)%,11.50 oz,,20/11/2025,410,25111021,120Y,"C:60.2''
F:61.2''",40,17.0cm,14.5cm,47,7,13.5cm,"C:60.7''
F:61.2''",-1.40%,1.50%,-1.15%,0.00%,60.0'',47,Singeing?Dryer(5box 60°C)?Sanforized,
X25367,X25344(Improve version),Regular finsih,"4521X43
7oe(Badsha) X 9ring(Milon), 3/1 R.H.T",Indigo#5,C&A,61~62'',-(3~4)%,(3~4)%,12.50~12.50/ oz,,25/11/2025,205,25111052,60Y,"C:62.5''
F:63.2''",43,17.5cm,,49,6,16.0cm,"C:62.7''
F:63''",2.10%,2.10%,-3.50%,-2.50%,60.5'',51,Singeing?Dryer(5box 60°C)?Sanforized,
X24108-2,,Rgular Finish,"4752X50
10rn(Nishat , Physical BCI) X 16-40D(Nishat, Spandex, BCI Physical) + 16-70D(Nishat,Physical BCI spandex)(1:2), 3/1R.H.T",Dark Indigo#6,Tusuka,52~53'',+/-(3~4)%,-(20~24)%,10.5 /oz,,25/11/2025,304,25111050,100Y,"C:56''
F:57''",50,12.5cm,9.5cm,58,8,10.0cm,"C:54''
F:555''",-0.79%,0.00%,-22.20%,-1.80%,42.0'',59,Singeing?Dryer(5box 60°C)?Sanforized,
X25366,X20060,Rgular Finish,"6480X90
16ring(Nishat, Physical BCI) X 12OE(Physical BCI)+16-40D(Nishat, Spandex BCI Physical) SBC(R.H.T)",Blue Black #8D,Tusuka (Team B),54~55'',+/-(3~4)%,-(16~20)%,11.8 /oz,,30/11/2025,219,25111054,100Y,"C:57''
F:57.8''",90,3.5cm,4.0cm,102,12,5.0cm,"C:55.6''
F:57''",-0.31%,2.30%,-20.30%,-1.80%,44.3'',108,Singeing?Dryer(5box 60°C) ?Sanforized(Face Down),
X24197,,Regular Finish,"4200X43
7oe(Badsha) X 10oe(Badsha, Physical BCI) , 3/1 R.H.T",Blue Black#8I,Florence Group(Team B),61~62'',+/-(3~4)%,+/-(3~4)%,12.00 oz,,25/11/2025,411,2509840,128Y,"C:61.4''
F:62.2''",43,17.5cm,13.0cm,50,7,16.0cm,"C:61.2''
F:62.2''",2.50%,1.40%,-2.60%,-1.00%,59.6'',51,Singeing?Dryer(5box 60°C)?Sanforized,
X25374,X25364(copy),Regular Finish,"3888X39
7ring(Nishat) X 7oe(Badsha) , 3/1 R.H.T",Blue Black,Primark,63~64'',(3~4)%,(3~4)%,12.00 oz,,26/11/2025,410,25111060,100Y,"C:64''
F:65''",39,16.0cm,14.0cm,45,6,16.0cm,"C:63.6''
F:64.7''",1.80%,0.20%,-1.70%,-2.00%,62.5'',46,Singeing?Dryer(5box 60°C)?Sanforized,
X25240-2,,Regular Finish,Lets get the construction number from the sample paper,,,,,,,,16/11/2025,106,25111021,80Y,"C:62''
F:63''",43,16.5cm,14.0cm,50,7,15.0cm,"C:
F:",,,,,,,Have to check the process and finishing data,
X24120-1,,Regular Finish,"4025X34
7siro Low TM 3.8(Nishat) X 6Tencel(Nishat, ring), 3/1 R.H.T",Indigo#5,Echotex / Sainsbury,64~65'',+/-(3~4)%,+/-(3~4)%,12.00 oz,,30/11/2025,301,25111063,180Y,"C:65''
F:66''",34,19.0cm,14.5cm,41,7,17.0cm,"C:64.7''
F:65.7''",4.00%,0.00%,-2.30%,2.00%,63.2'',39,Singeing?Dryer(5box 60°C)?Sanforized,
X24246,TN090-01R6,Regular Finish,"4488X42
10Siro(Badsha) X 10Tencel(Badsha) , 3/1 R.H.T",Dark Indigo#6,Natural Denim(Team B),61~62'',+/-(3~4)%,+/-(3~4)%,9.25 oz,,26/11/2025,518,2510969,32Y,"C:62.8''
F:66''",42,17.5cm,13.0cm,49,7,17.0cm,"C:62.5''
F:63''",3.20%,2.70%,-1.40%,0.00%,61.5'',49,Singeing?Dryer(5box 60°C)?Sanforized,
X25375,PRS100-05R5,Regular Finish,"4176X50
8oe(Badsha) X 16-40D(T/Raw , Lycra) Huzhou , 3/1R.H.T",Indigo#5,Lidl/Singapur,57~58'',+/-(3~4)%,-(15~19)%,10.00 oz,,30/11/2025,121,25111065,100Y,"C:59.8''
F:60.8''",50,19.0cm,14.0cm,59,9,12.0cm,"C:57.8''
F:58.8''",-1.05%,-2.80%,-12.60%,1.00%,50.5'',58,Singeing?Dryer(5box 60°C)?Sanforized,
X25376,RNS120-04R8D,Regular Finish,"4464X48
7rsl(Q476)(Nishat)+8oe(Badsha)(6:4) X 12-40D(BCI, Nishat), 3/1 R.H.T",Blue Black#8I,Sainsbury /Team B,60~61'',+/-(3~4)%,-(12~16)%,11.75 oz,,30/11/2025,122,25111064,212Y,"C:61.5''
F:62.5''",48,16.5cm,13.5cm,55,7,14.0cm,"C:60.5''
F:61.5''",1.23%,-1.08%,-16.50%,-2.60%,51.5'',55,Singeing?Dryer(5box 60°C)?Sanforized,
X25377,,Regular Finish,"4176X40
8rn(Nishat) X 8oe(Badsha,BCI) + 8-70D(Nishat) , 3/1 R.H.T",Indigo#5,Dreuss/Ardere,61~62'',,,12.25 oz,,30/11/2025,121,25111002,38Y,"C:62.7''
F:63.7''",40,14.0cm,12.5cm,47,7,11.0cm,"C:61.7''
F:62.7''",-1.98%,-0.75%,-13.70%,-1.50%,53.2'',46,Singeing?Dryer(5box 60°C)?Sanforized,
X25320,,Regular Finish,"4968X44
12ring(Nishat) X 12ring(Nishat), Multiweave",Indigo#5,Cross Line/Pull&Bear,62~63'',+/-(3~4)%,+/-(3~4)%,8.50 oz,,30/11/2025,319,2510936,168Y,"C:62.2''
F:63''",44,14.0cm,12.0cm,50,6,10.5cm,"C:62.8''
F:63.6''",-3.90%,1.00%,0.00%,-24.00%,62.8'',51,Singeing?Dryer(5box 60°C)?Sanforized,
X24246(yarn test),TN090-01R6,Regular Finish,"4488x42
10siro(organic, Nishat) X 10Tencel(Badsha) , 3/1R.H.T",Dark Indigo#6,Natural Denim,61~62'',+/-(3~4)%,+/-(3~4)%,9.25 oz,,30/11/2025,201,25111068,10Y,"C:62''
F:62.8''",42,16.5cm,13.5cm,48,6,14.0cm,,,,,,,,Singeing?Dryer(5box 60°C)?Sanforized,
X25380,X25370,Regular Finish,"3888X42
9ring(Milon) + 9siro slub(Nishat) X 12-40D T/Raw (Recyle),Xuzhou + 12-70D T/Raw(Recycle) 2:1(Xuzhou) , 3/1 R.H.T",Blue black #8D,C&A / Winter Quilts,54~55'',-(3~4)%,,9.50 oz,,30/11/2025,410,25111048,60Y,"C:59''
F:60''",42,14.0cm,8.0cm,48,6,9.5cm,"C:54.8''
F:55.5''",4.50%,-0.93%,-18.40%,-1.50%,44.7'',48,Singeing?Dryer(5box 60°C)?Sanforized,
X25379,X25370,Regular Finish,"3888X42
9ring(Milon)+9siro slub(7052 , Nishat)(6:4) X 12-40D T/Raw(Recycle , Xuzhou) 3/1 R.H.T",Blue Black#8D,C&A/Winter Quitts,54~55'',-(3~4)%,,9.50 oz,,30/11/2025,410,25111048,60Y,"C:60''
F:61''",42,13.5cm,9.0cm,48,6,10.0cm,"C:56.5''
F:57.2''",-1.23%,2.30%,-15.90%,-1.40%,47.5'',48,Singeing?Dryer(5box 60°C)?Sanforized,
X19142,,,"6480X58
16oe(XDD) X150-40D(N.S, Hangzhou, Black)+150-70D(N.S, Zheliang Tex, Black), Sateen(R.H.T)",Black#9S,Next -N.S sourcing,50~51'',-(3~4)%,-(13~17)%,8.60 oz,,02/12/2025,219,25111069,30Y,"C:54''
F:55''",58,14.0cm,9.5cm,65,7,7.5cm,"C:49''
F:50''",1.60%,-4.00%,-15.10%,0.00%,41.6'',65,Singeing?Dryer(5box  60°C)?Sanforized,
X19142,Rest Quantity,,"6480X58
16oe(XDD) X150-40D(N.S, Hangzhou, Black)+150-70D(N.S, Zheliang Tex, Black), Sateen(R.H.T)",Black#9S,Next -N.S sourcing,50~51'',-(3~4)%,-(13~17)%,9.60 oz,,06/12/2025,219,25111069,,"C:54''
F:55.2''",58,7.0cm,5.5cm,63,5,7.5cm,"C:51''
F:52''",-0.70%,2.30%,-17.00%,-1.00%,42.3'',64,Singeing?Dryer(5box  60°C)?Sanforized,
X25378,,Regular Finish,"4464X40
7siro(Nishat) X 10oe(Badsha) , 3/1R.H.T",Dark Indigo#,Natural Indigo#6c,,,,,,02/12/2025,111,25111072,80Y,"C:66.6''
F:67.4''",40,15.0cm,14.5cm,47,7,16.5cm,"C:66.6''
F:67.4''",6.30%,-1.70%,-2.80%,-2.60%,64.7'',46,Singeing?Dryer(1Box 85°C)?Sanforized,
X25310,,Regular Finish,"5886X60
20ring(Nishat)X20ring(Nishat) , Multweave",Dark Indigo#6,Bitopi/Pull & Bear,63~64'',+/-(3~4)%,+/-(3~4)%,6.25 oz,,29/11/2025,,,,,,,,,0,,,,,,,,,Singeing?Dryer(5box 60°C)?Sanforized,
X1712415,PR120-02R11,RFD+Regular finish,"4200X43
7OE(Badsha,Organic) X 10OE(Badsha,BCI) , 3/1 R.H.T",RFD#11,Echotex,60~61'',-(3~6)%,+/-(3~4)%,10.50 oz,,02/12/2025,411,25111075,122Y,"C:61.2''
F:62''",43,13.5cm,12.5cm,48,5,14.5cm,"C:61.5''
F:62.5''",2.60%,0.00%,-1.60%,-3.50%,60.5'',48,"Singeing?Dryer(1box old m/c)?Sanforized
Natural",
X25370,,Regular Finish,"3888X42
9ring(Milan)+9siro slub(Nishat) X 12(75D DTY)-40D(Xuzhou), 3/1R.H.T",Blue Black#8D,C&A(Winter-Quilts,54~55'',-(3~4)%,,9.25~9.50 /oz,,,,,,,,,,,0,,,,,,,,,Singeing?Dryer(5box 60°C)?Sanforized,
X25368,"RNS110-07R8I
COPY:2PPI less in lycra",Regular Finish,"4464X43
7rsl(q-476)Nishat + 9oe(Badsha)(2:8) X 12-40D(Lycra, Nishat, PCW, 77% Cotton) , 3/1 R.H.T",Blue Black #8I,Sainsburry,59~60'',+/-(3~4)%,-(16~20)%,11.00 oz,,27/11/2025,303,25111057,30Y,"C:60.6''
F:62''",43,18.5cm,11.5cm,49,6,11.5cm,"C:60''
F:61''",0.00%,-0.80%,-20.60%,-3.50%,47.6'',52,Singeing?Dryer(5box 60°C)?Sanforized,
X23079,,Regular Finish,"4200X44
7oe(Badsha)X9oe(Badsha) , Zigzag 3/1",Black#9L,Bitpol/LPP,64~65'',+/-(3~4)%,+/-(3~4)%,12.30 oz,,27/11/2025,306,25111051,96Y,"C:61.2''
F:62''",44,1.0cm,1.0cm,52,8,1.0cm,"C:61''
F:62''",-1.14%,0.80%,-3.60%,0.00%,58.8'',52,Singeing?Dryer(5box 60°C)?Sanforized,
X25369,RNS110-07R8I,Regular Finish,"4464X45
7rsl(q-476)Nishat + 9oe(Badsha, BCI)(2:8) X 12-40D(Lycra , Nishat, 20% PCW, 77%Cotton), 3/1 R.H.T",Blue Black#8I,Sainsburry,59~60'',+/-(3~4)%,-(16~20)%,11.00 oz,,26/11/2025,303,25111057,30Y,"C:60.5''
F:61.8''",45,17.0cm,14.0cm,53,8,12.0cm,"C:60''
F:61''",-2.60%,0.00%,-18.80%,-2.70%,48.7'',54,Singeing?Dryer(5box 60°C)?Sanforized,
X24033,PR115-07R5,Regular Finish,"4644X44
8oe(BCI , Badsha) X 9oe(Badsha) , 3/1R.H.T",Indigo#5,Laila Style,64~65'',+/-(3~4)%,+/-(3~4)%,11.50 oz,,06/12/2025,407,25121084,103Y,"C:65''
F:66''",43,18.0cm,12.5cm,48,5,15.0cm,"C:65''
F:66''",0.40%,2.90%,-1.80%,-3.90%,63.8'',50,Singeing?Dryer(5box 60°C)?Sanforized,
